reviewer name,number of reviews by reviewer,review title,review rating,review
Nash Rady,1,Unhappy customer,Bad,I have been a customer of Myer for over 40 years I have never been so disgusted with the service I have revived by the customer service department there to help with customer issues they where most unhelpful people I have ever come across I ordered a pair of shoes online I was sent a different style and shoe size when I tried to get help from customer service they where no help I asked to speak to a supervisor they told me she’ll call me right back it’s been 4 days and she still hasn’t called me back I can honestly say I will not be shopping at Myer
Kelly Duong,1,Friday 23rd Nov,Bad,"Friday 23rd Nov 2018. @ Myer HighpointI tried to find a complaint form on google and the Myer website, but I can't find it and came across this site. After my experience today at Myer, I wanted to make a complaint to someone so bad. For years now, I've shopped at Myer with no problems - honestly, the lack of staff in the other departments besides from the perfume and cosmetic department is not worth writing about because I hardly shop anywhere besides from getting perfume or makeup.Today we went the Yves Saint Laurent counter as my mum has been eyeing a perfume for a long time now. Luckily, it was what they called ""Black Friday"" so there were some sales on. At first, we were told, it was was a further 10% including the 20% from one of the girls who worked there - we thought, OK, why not. So we wanted the 90ml bottle. When the staff who helped us asked another staff member, who had just came back (from somewhere) how can she do another 10% off? They 2nd staff said, no, it should only be only 20%. The two started conversing, the 2nd staff started to ""education"" the 1st staff. I started to feel uncomfortable because I don't believe as a customer I should hear this as I found her tone not to be so pleasant. I really wanted to say something then, but I thought it was best not to interfere. The first staff made a mistake because she herself was confused due to another poster she had read for that brand; she even told us she got confused. Totally understandable. Afterwards, she said to us, the 90ml is 20%, but the gift pack (same kind of perfume, only that it's 50ml and an extra bottle of 7.2 ml or something) is 30% off. So we decided to have a think about it: should we get the 90ml (for 20% off) or 50ml in the gift pack (for 30% off).At around 2:15 to 2:30 pm, we came back deciding to get the gift pack. This time only the 2nd staff was around. When she told us the gift pack is 20%, I said, ""I thought the gift pack will get 30% off?"" This is where it went downhill (at least for me). She asked me ""why 30?"" I was taken aback.  I mean, was that a rhetorical question? 'why 30?' it was in a tone where I did not think should be reserved for customers. In my head I'm thinking, what do you mean why 30? Did she just ask why 30 to me? Then I said, ""the other girl said the gift pack has the further 10%, not the standalone 90ml."" Then she said to me, ""I already told the girl, it is only 20%, except the OPIUM (or whatever - I didn't know)."" 20% or 30% or not I don't care anymore -  I did not like her tone one bit. I said, ""I don't like your tone"" and walked away. I told mum not to go back to Myer to buy Yves Saint Laurent, go to David Jones or something - somewhere else.I'm so sorry for the long post. I need to get this off my chest. I needed to get it off my chest as soon as I walked away from Yves Saint Laurent."
Letrecia Tippett,1,Myer was once my go to store,Bad,"Myer was once my go to store, now my last choice. The reason, no service, no service, no service.  I now shop at small boutiques. In dressing rooms, staff will ask if you need any help. Good luck at Myer, where I asked an assistant for help and was told I don't work for that brand."
carol harris,1,excellent service,Excellent,Got my parcel all purchases as ordered wrapped in tissue paper and presented as per Myer. Will continue on there site it was my first experience with Myer and won’t be my last. Thank you
Ann,1,Very impressed!,Excellent,"I have been very impressed by the five-star service and professional advice that I have received from Cathy from the Clarins counter in Myer Knox City. She has always been very nice and helpful every time I go there. In fact, due to her exceptional customer service and very knowledgeable product advice, I have switched all my skin care & make up products to Clarins. I also noticed that she is a very good team player, so often I see her helping customers in the other cosmetic counters very nicely. I would highly recommend her to any employer!"
AL,2,Horrendous customer service,Bad,"Horrendous customer serviceFor the first time i made a purchase off the Myers website, of course there wasn't any problems with them recieving payment and emailing me that they got the order but after that absolutely nothing. I don't know whether they need to order the package in from out of state or whats happening i've tried messaging Myers directly but no response. A update system for people who order online would be great. Would i reccomend buying stuff off Myers to a friend? no way save yourself some time and get it from another place, will never again use Myers."
Jolanta Sinclair,1,On rare occasions I had a good service,Bad,"On rare occasions I had a good service, however yesterday experience was shocking.I wanted to buy pashmina. It was a new idea, a few people I know, own one, I did not see any purpose having one, yesterday I decided I needed just something like that.I knew it could be purchased at Myer's. So I went to Karriyup store.I asked a shop assistant to find one. Not only she had no idea (working in this department) where one was, she had no idea, what it was.I tried to explain, still no results. She started to show me other shawls. Despite me repeating it was made of wool, she showed me different made of artificial fabric. She only showed me those which were on sale. She pointed to one specific and said it was very expensive. The price was $ 29. I don't know how she assessed my wealth or lack of it, apart from me speaking with different 'accent'. What a rude, horrible behavior. I experienced the same when I wanted to buy sunglasses.Very young girls were lecturing me about everything, including the climate in Perth, I have been living longer here than they are on this earth. They were unwilling to put any effort in assisting me.Lazy, rude, stupid young women. How did they get the job ?Online purchase was a total disaster.A very bad experience in other Myer stores too. If customers are such nuisance, don't sell anything, just have the company for people working there."
Sal K,1,The service that I have received from…,Excellent,"The service that I have received from Marianne at the Lancôme counter at Macquarie Park has always been exceptional, she knows the products very well and I always feel she has my best interest at heart."
Claire,3,Worst online shopping experience…,Bad,"Worst online shopping experience ever!!!!! Next day delivery?? Good luck if you ever receive your items!!  What a scam! Don’t fall for it shop elsewhere. Buyers beware..,,,I purchased a handbag from Myer online over 1 month ago. I paid for next day delivery...what a joke, I still haven’t got the item I paid for. It took the courier 1 week, yes a whole week to collect the bag from the Southland store. Then after an unsuccessful attempt to deliver the item a card was left with no details of where the item was. Days later I was able to track it to s local 7 eleven. Long story short..,,due to the utter incompetence of Myer to not follow up if an item has not been collected by the courier service. I am still waiting for the item to show up somewhere:-(I really am horrified at this appalling lack of customer service..Seriously what’s the point of advertising next day delivery if you can’t provide it!!!.Now after 2 unsuccessful attempts to collect my item due to the incompetence of the courier service it’s now been returned to Myer. I have no idea where as there is no tracking ...courier simply sent me an email stating it had been returned to Myer and to chase my refund with them.  Good luck with that I’m not expecting much from Myer as they’ve proved themselves to be a very poor excuse for a retailer."
Joanne Woodland,1,Purchased online from Myer September…,Bad,Purchased online from Myer September 23rd still no parcel delivery ; customer service don’t answer calls on hold for 1 hr then disconnected ; emails not responded to ;
Jessica Tatzenko,1,Waited 10 days for a chopping board to…,Bad,Waited 10 days for a chopping board to be delivered. Collected it from the post office cracked. Called the customer service team to be told I either needed to post it back wait for it to be received and then they could send the replacement. I said I’ve already waited the 10 days can you send me a new one now so I don’t need to wait another 2 weeks. No that’s not our policy.Then suggested going into store. I asked them to call the store and get back to me. They said they don’t need to do this. I had to call. Called the store 3 times no answer. Was advised they had 4 in stock. Took a nervous punt and went into the store when I got there they said they had none and could only offer me a refund. Horrible service and I essentially waited 2 weeks to not have the product but a huge amount of frustration.
jana,1,"LATE delivery, NOT 4-7 days",Bad,"Long time Myer customer. Always shop in store. Decided, for convenience to go with an online order this time. Ordered two products from Myer on 9/10/18. Received an email on Friday 12/10/18 to say your order is on its way. It certainly was NOT on its way. I now receive an email (16/10/18) saying your order will be delivered on Monday 22/10/18. So really, a very misleading statement on their website - 4-7 business days free delivery- it is now actually 9 days,10 if you count the order date. Be honest on your website. If you can't deliver within the timeframe allocated notify the customer as to why it is taking longer than stated on the website. False and misleading claims. Very disappointing."
Amanda,1,Appalling Service and Delivery,Bad,Ordered 2 x dinner sets on a Monday. It took until the following Monday to arrive. Dispatch was from a store 30 minutes away. Both dinner sets arrived broken and the box was not marked fragile. One box did not have the packing installed properly as it had been opened previously. As well as the broken items 2 x bowls without packing between them were jammed together and could not be prised apart.  I actually looked elsewhere on line and found the dinner set cheaper with a dispatch/delivery of 2 x days. I can only class this as appalling service and delivery! Don't think I would bother ordering from Myer again after this experience.
Kiki,1,Bad click and collect system,Bad,"Place the order online on Friday night, chose ""click & collect"", said the product was in stock, I could pick it up by 10am on Sat. Waited another email ""ready to collect"", not coming. Rang up to track the order, was told I could receive the email anytime soon. Went to the store, they had the product in stock, but didn't want to give it to me. I had to wait until the one is coming somewhere from the other store. I asked ""why don't you give it to me one you've got?"", the myer guy said ""it doesn't work that way."" What a great system! Never buy anything from Myer."
Sarah Gooder,1,At Myer Morley I had to deal with a rude manager,Bad,At Myer Morley I had to deal with a manager named Steve and he was so rude to his staff right in front of me! Poor girls were nothing but helpful and he seemed to have no idea. I can’t believe how he spoke in front of me! It has turned me off returning.
Frank Petelin,1,Pathetic after sales service,Bad,"Pathetic customer service experience using Myer online and instore, purchased a handbag online, when delivered the strap was missing, I called  Myer who advised me to either return the item in the post or return to a Myer store at my incovenience. Incidentally I was also not provided a return con note slip so I could post the item back! I visited the Myer Highpoint store (vic) on the 28/09/18 on a Victorian public Holiday at my inconvenience where I have way better things I could be doing on my ONE day off! I spoke to a lady at the Handbag register within the store regarding my handbag purchased online that was supplied to me without a strap rendering the item completely useless. The lady was completely stand offish and blunt stating that I cannot return the item in store and need to send it in via the post, when I asked if it can simply be exchanged for one ""WITH"" a strap she bluntly told me that they do not even stock that handbag in the store! So I am standing there In a Myer store with a Myer supplied product that I have purchased with no assistance what so ever and a blunt employee telling me that I now have to post this item back and waste more of my own time keeping in mind I then had to contact Myer AGAIN to get a return con note emailed to me so I can actually post this item back!!!! Happy to take my hard earned money to sell me the item and then make it damn near impossible for me to have this issue rectified through no fault of my own. Pathetic Customer Service! I will NOT recommend using Myer to anybody I know nor will I use Myer again myself, I prefer to pay more for an item from any other store and receive quality customer service and after sales assistance, for that matter even buying on line direct from China at a quarter of the sale price and delivered to my door WITH a strap would be better than experiencing this pathetic type of after sales lack of care or regard for a customer!"
Leigh,1,Customer service number never answered and in-store transfers don't get delivered,Bad,Customer service number never gets answered.  Ordered an online item six days ago - still no delivery for click and collect.  Ordered item from Next in the UK on the same day and it arrived in 5 days.  Tracking system down and public holiday blamed for the delay.  A transfer from another store.. really ??  Absolutely pathetic Myer.
CG,2,Myer online poor service,Bad,"Myer online. Bad service. As per Auspost, my Myer parcel was not clearly mentioned receiver address or sender details. Because of that, my parcel was on hold in the transit post office without any notification. After 10 days of purchase still, I didn't receive my order.When I am trying to contact Myer, there are no email address to contact them either. helpless after purchase from Myer online.Will never purchase from Myer online again."
Jane Wilson,1,TAKING SHAPE CLOTHES - MYER HOBART 22/9/2018,Bad,"Myer Hobart 22/09/2018 - attended a Taking Shape fashion parade by invitation & won 1 of 2 “lucky door” prizes - $49.95 voucher for TS accessories - very nice BUT there were strings attached which were ... had to be used that day 22/9 only, also the current retail prices 40% discount (Australia wide/online) did not apply!! The choice of TS accessories was poor ie, hardly any. I relinquished the voucher for a full price to me bag $49.95 which was for sale to everyone else at $29.95 - how misleading & unprofessional to offer such conditions to a prize (was told after receiving the voucher) so other attendees were unaware it wasn’t what it seemed, better to have not bothered Taking Shape - UNETHICAL & DISAPPOINTING - spoilt my experience + it amounted to $29.95 not $49.95 which was incorrect retail value on the day - is this permissible under ACCC law?? Really how pathetically stingy can TS be to a prize recipient let alone a long time customer. THE POSITIVE OUTCOME IS THAT MY PURCHASES ARE BEING RETURNED AND I WILL NEVER EVER BE A TAKING SHAPE CUSTOMER AGAIN UNDER ANY CIRCUMSTANCES."
Cheryl Macfarlane,1,NO SERVICE COULDN'T CARE LESS ATTITUDE,Bad,Disgusting service or should I say no service.  Staff are not familiar with deals etc.  The worst  cosmetic staff ever.   I've shopped in several stores throughout Australia and have to say Stockland Townsville the very worst.
Helyn,1,Yesterday I had a wonderful shopping…,Excellent,Yesterday I had a wonderful shopping experience at your Pacific Fair store with assistance from the lovely Karen Stevenson in the shoe department. Being someone who is not fond of shopping and partly disabled Karen’s kindness and understanding was so amazing that I could not pass up the opportunity to tell as many people as possible.  I left the store feeling on top of the world. Karen if you ever get to read this I just want to let you know that I appreciate everything you did for me and I now have a better opinion of shopping.
P Doyle,1,Not happy,Bad,Not happy. Perth store staff member in the Polo area was careless with the sale resulting in a $51 overcharge. Went to Myer Morley to get a refund. The store manager showed no interest in raising the mistake with the Perth store so that others that may have been overcharged could be identified; or the staff member given guidance. It took us three trips to Myer to get our money back and received a curt 'sorry.'  Take home message; be careful to check your receipt for overcharge and don't get hopes up that Myer will leave you feeling they are care.  Disappointing.
Leanne Hawkins,1,I visited your Myer Bendigo store…well done Val!,Excellent,"I visited your Myer Bendigo store today, and couldn't have been more happy with the service! I was looking for some shoes for a wedding and was served by Val,who I believe has been in this department for a long time, as she certainly knows her products! I always have problems buying shoes as I have large, wide feet! Although she was the only service assistant in this department and was serving about four customers at the time, she kept her cool and remained very professional throughout the whole time! She even brought out more shoes for me to try on! Need I say I bought some shoes from her today and hope she gets acknowledged for her exceptional service today under difficult circumstances! Thankyou and I'll definitely be back to purchase from Val well done!"
Maurice Pratt,2,Mainly buy clothes there,Average,Mainly buy clothes there. Some of the brands they carry are of questionable quality
Tina,1,DONT SHOP HERE...,Bad,"Worse online shopping site. Don’t advertise An everyday item on sale if you can’t provide back orders. Couldn’t use my rewards card ,  trying to spend enough for free delivery, system wouldn’t let me so could only buy one of the items and got charged delivery.After calling to errectify problem twice for 45mins each time, probs still not rectified....Hung up on, didn’t call me back, complained second day, team manager didn’t call me back ...VERY POOR CUSTOMER SERVICE.Staff are arrogant and treat you with a ...that’s just the way it is... attitude...Save yourself the pain and shop elsewhere.As for your catch fraze song...MYER IS NOT MY STORE...Taking my dollars to DJ’s"
Daniela de Souza,1,Great experience every time I purchased…,Excellent,Great experience every time I purchased online.
john,1,Myer online poor service,Bad,Myer online.  Bad service.   Item arrived damaged.  They wouldn’t pick it up or refund partially. No email address to contact them either.  James the service manager provided no help
Gary Meyer,1,Their customer support is a joke,Bad,"Their customer support is a joke, if they want to survive in the online business they better pick up their game, bloody pathetic.Called to trackl an order, put inb the order nr and line gets cut.Call customer support, sit on the phone for over half an hour no one picks up.Want to leave messages on their site, forget about it.PATHETIC BUY ELSEWHERE ONLINE"
Paula,2,Poor customer service again and again,Bad,I purchased an item online with Myer. Received the wrong item . I now have to go to a post and line up to return this item as it is too big for a post box. Other companies will pick up the incorrect item . Also will not send out the correct item until they receive this item back.  Rude and smug customer service. I will be returning my Myer one card with the parcel. Good luck new CEO!!! It's not House of Fraser.
Camille Gustavo,1,They’re good but too over priced!,Poor,They’re good but too over priced!
Melinda,1,Today l had to exchange a shirt  to a…,Bad,Today l had to exchange a shirt  to a large size l brought for my husband.l went to the French Connection section and no a single sales person to be seen so l went to the register and the person there said l cant help you you have to find someone in the men's wear. So l trsck back finally   find a young gentleman and explain. Said he csnt help because he wasn't from French Connection so he phoned to see if someone would come from thst section. He said sorry no will be in that section for another 1/2 hour. Discussed with the service.
pandadownunda panda,1,Worst Security Guard ever! Being Black...,Bad,"Monday Morning, 30.07.2018 Myer store Karrinyup, Perth WAKids dropped off, I might as well have a stroll trough Myer (as every second week latest) I go to the dessous appartement and as I am looking at the bras I realize a security guard is watching me and even 20min later after trying on several bras, as I exit the changing rooms I spot almost right away the security guard still in the dessous section watching me. I feel a bit creepy and weird being followed so I pay the dessous immediately although I am not finished with my Myer shopping spree, hoping the security guy will back offAnd let me enjoy my wonderful Monday morning. But as I wander around the Seed section, I notice the security guard is still following me?Another 15 min later, after trying on a few dresses at the Review department I come out the changing rooms and the same security guy is still there!? I start wondering and looking around to see if I am the only customer in the whole entire 3 story store?! And again I feel pressured to pay immediately my clothing and since I am annoyed by the penetrant behavior of the security guard I decide to leave Myer and continue my shopping spree at David Jones. I walk towards the exit and of course the security beeper goes off, as always! (Why dear Myer can't you get that right?! And yes one of your employees has explained it to me in the past, which sounds like very lame excuse to me and also is absolutely NOT customer friendly!) So because I'm aware that the security alarm at the entrance will go off (as always) I pretty much walk towards the Chanel Cosmetic Sales Woman showing my shopping bags and asking her to pls check my clothing to make sure there are no security tags attached. (wouldn't be the first time a sales person forgot to dettach it🙁) And while your cosmetic employee is already checking through my bags, guess who storms up to us and snatches the shopping bags out of the Sales Woman hands!?! Of course Mr Creepy Security Guard! The sales woman is just as shocked and overwhelmed as I am because the Security guard interrupts us with an aggressive approach and just grabs the bags Away saying: I HAVE TO CHECK THE BAGS! THe Sales Woman is so intimated by this situation she just flees the scene and almost hides behind her lipstick stand?! I am Standing there shocked and shaking my head, as I ask that security guard why he grabbed my bags away from the Myer Employee he yells at me:THIS IS MY JOB!   As he is looking through my shopping bags I can't help myself to ask him if it also his job to follow me for 20 min while I am trying on dessous and then another 20min although I did already pay for my purchases? At this point the security guard is denying everything and with a very aggressive attitude still yelling at me :THIS IS MY JOB! while turning away from me with MY BAGS! So because I am gettin scared and I just want to leave this store I ask him pls to finish his Job and hand me quickly my bags! The security guard now is almost holding my bags behind his back and refusing to hand them back!? Like he is trying to force me to stand there at the entrance of Myer and being humiliated by this absolutely ridiculous scene.As I am watching him holding back MY BAGS I realise this person can not have any kind of qualified trainee, so I ask the security guard to immediately hand me my bags so I can go directly to the store Manager to complain. He is not bothered at all, even when I ask him if he really thinks his intention to scare away long time customers and treat me like Sh$#* conform with Myer and his Employer?Even then he doesn't care and goes on like a Robocop : 'THIS IS MY JOB!' After complaining to the manager, I really don't have the feeling anyone cares for my f&$#%' up shopping experience at Myer. I don't understand why Myer would hire such unprofessional, unqualified and rude security guards? I really question the entire Security company? Is this a new company because in all my 8 years shopping at MyerI have never seen /noticed these guards before nor have I experienced anything negative in your Karrinyup Store? Dear Myer is this your true intention, to chase out regular good paying customers, by hiring unqualified Security guards which penetrant us while we just want to spend our money in your store?! If yes then I guess I f#:'&*in WAS your regular good paying customers. Side Note:I was styled and wearing designer clothes, But perhaps the fact that I AM HALF BLACK Woman Could be probably the reason your security guard TERRORIZED me and NOT another customer! I don't expect anything from you because we are all aware you are a big, big Retailer and you don't depend on ON ONE BLACK WOMANVice versa do not expect me to have any kind words about Myer in anyway to anyone. RegardsBLACK CUSTOMERPS Why do I have to rate with one Star 🌟? This sad experience is not worth anything?"
Allan Pilgrim,1,Appalled by the way I was treated…,Bad,"Appalled by the way I was treated today! I tried to buy a coffee machine online to pick up in store.  I have since cancelled the order and I will buy it from DJs, $2250, they don't care. Rude customer service staff, rude complaint staff, I'll be cancelling my card tomorrow."
Keith Langton,1,Painfull shopping,Bad,"Looking for men's clothes in Geelong store - many staff around -obviously not from sales - standing in front of mirrors chatting oblivious to customer. That was bad enough but when a team member came behind my wife and startled her. I did not realise the extent of his rudeness until we were home, His comment was ""I only did it once."" I think this is bullying and intimidation. However the person on the checkout was very polite and most helpful. If you want to be suprised when shopping go to Men""s wear Myer Geelong."
steven blakemore,1,They lie about stock levels online and…,Bad,They lie about stock levels online and after you buy tell you its not in stock And will take a week to aririve and you can not cancel an online order Never agin ( no wonder you are going broke good riddens )
Del,1,Bangkok markets,Bad,"I enjoy going to Myer Sydney every weekend. I often do some shopping and I always look forward to having a meal on level 5. Of late I have noticed the staff at the cafe to be really rude, no customer service skills at all and I feel it’s too much of a bother for them to serve the customer. A few times they would just slam the plates on the table as if they were feeding a dog. Then I notice they speak in a different language(Thai I think) in front of customers and would talk loudly. Please remind them this is not Bangkok markets. Really disappointed. I think it’s time to look for another place to eat after shopping. Please also teach them to smile a little bit, I Wish Myer Sydney would fix this. Thank you"
Anna,1,Very bad service,Bad,Very bad service
Kathryn,2,Extremely disappointing...,Bad,"Extremely disappointing.... Myer advertised a gift with purchase during a promotional period however staff at Myer in the Canberra Centre advised that the gifts were reserved for their ‘special’ customers (interested to know who/what deems you to be a ‘special’ customer?). When questioned about the fairness of this practice, they advised that it is common across Myer departments.Reported this as a complaint to Myer Customer service who recorded the feedback. Not sure what action is or will be taken from the feedback. This practice made the gift with purchase unavailable to customers who actually qualified for the gift."
Brad Colligan,1,WORST STAFF I HAVE EVER SEEN,Bad,"Attended Myer Bankstown on Friday and bought a pair of $150 boots. When i got home (after driving twenty minutes) I opened the package and found only one shoe in the box. Never happened before but people make mistakes, so I drove back to Bankstown Myer. On arrival I firstly waited 15 minutes wilst the lady attendant had a chat to one of her co-workers. Eventually she came over and firstly accused me of stealing a shoe ( I have two feet by the way). She told me that I had bought the last pair and I must have it!!!!! So I went over to the display and found another shoe exactly the same and same size. I asked if this could possibly be the other shoe? So she rudely took the (second hand) shoe and put it in the box and without even an apology. So I then complained to Myer head office and guess what NO ANSWER to my emails or phone calls. Sorry Myer never ever again will I shop at Myer. Your customer service and staff are the worst in any industry I have ever seen......"
Billy Adams,1,Incompetent staff,Bad,"A particular staff member at the Melbourne city Myer today was stupid, incompetent and outrageoslly dumb. She refused our family in using our Myer one points for our purchase today. We have been loyal to this company for many years until today. WE FEEL OFFENDED AND ASHAMED FROM MYERS ACTIONS TODAY."
Lore Mart,1,I am really annoyed with Myers gift…,Poor,"I am really annoyed with Myers gift voucher policy. Once they receive the money from the person buying the voucher, they are quick to impose rules on how and when the receiver can spend the money. One month to user a voucher is just ridículos. From the time your loved one buys the voucher to when you have time to go to the store, one month is long gone. Shame on you Myers for stealing money from your customers."
J shipway,1,Well for along time,Poor,"Well for along time, I have never fancied Myer, over priced so called fashion, see your self walk around the corner. To dark hate prints flowers etc. fashion hasn’t appealed to me for a long time get someone else rather than the buyers you have that would make a difference."
Lee Vo,1,Things Change at Werribee Myer.,Great,"My parents living in the west.. Sometime I do something shopping with them at MYER in Werribee. For the last 8 months , i found the customer service there very poor & the staffs not very friendly & helpful . Today I went back with my mum & I found the whole department completely changed.. The staff are so Friendly & everyone said hello to you & asking if you need any help . Wow I’m very surprise & feel welcome. Weldone  MYER in Werribee, i think the GM are getting the message now if they want to compete with David Jones Store in the Future. Kind Regards, L Vo."
Chrisentiae Saint-Piaf,19,Myer is a horrible experience.,Bad,"Myer is a horrible experience.Some Myer staff ignore customers, and will chat merrily away about whatever, and leave customers waiting for minutes at a time. At other times they are invasive with comments and unprofessional.Other Myer staff are good.Myer have problems that go well beyond their insanely overpriced goods."
Dhillon07,1,"I went myer Werribee,Victoria so many …",Bad,"I went myer Werribee,Victoria so many  times to buy some beauty products but no one assist me..one lady was doing make up to someone in the estee lauder section ....i stayed there for 5 min.to have someone to assist me but she totally ignores me.Then i said to her i need something but she talked very rudely and said am very busy plz find someone else.I could not find anybody so after waiting a while...i just walk away from there.I felt very dissapointed and dont want to go there again.I dont understand why they have so many beauty sections if they cant assist the customers.Very bad."
l.p,1,Went to Myer Perth on Saturday,Bad,"Went to Myer Perth on Saturday, completely understaffed. No one manning the fitting rooms, a bucket of clothes spilling onto the floor as their was no rail for unwanted garments. Went into a fitting room which had been recently renovated and was shocked to find chewing gum lining the walls, dust, dirt, swing tags and security devices on the floor. There was no where for me to even hang the clothes in the fitting room as it looked like the rail in there had fallen off. So I had to put the items on the dirty ground before trying them on! While trying a dress on a security alarm started sounding on the dress. I ventured out looking for someone to help me, you would think if an alarm was sounding someone would attend? No. Didn’t even bother to try the other items. I have photos of the state of the fitting rooms, however on the Myer website there seems to be no option to leave customer feedback. Won’t be shopping in Myer again, and I don’t think it will be long until they are the next retailer to go under."
Robyn,1,MYERS 3 HOUR CLICK AND COLLECT ONLINE…,Bad,"MYERS 3 HOUR CLICK AND COLLECT ONLINE SHOPPING IS AN ABSOLUTE JOKE!!!!!Placed my 3rd online and LAST EVER order with Myer on Monday... opted for 3 hour click and collect!!!! Its Thursday now, and I've been phoning since Monday afternoon, being left on hold for extended periods, promised that ALL my products would be ready...they are still not. Worse part my sons Bray has been and gone, THANK GOD I managed to scrape enough time in between work..kids and their sport to go to KMART to get him some presents.NEVER AGAIN MYER...3RD TIME BURNED BY YOUR DISGUSUSTING FRAUDLETUNT RUDE SERVICE. Worst part as I write this... I've been on hold again for 15 minutes and I phoned right on 9am....Absolute DISGRACE MYER!!!!"
Anastassia,1,Don't ever shop online,Bad,"After being a loyal customer for many years, I have made a terrible error of making an online purchase. I bought a dress, which was a few hundred dollars, and it arrived without any protective wrapping or even an authentic/original tag. I noticed straight away that it had a blue mark at the front of the dress - I believe it was from the tag which was written in blue pen! Besides this, on close inspection, it turned out the dress had two holes and the pockets had stitching that was undone. It was obvious that this dress has been worn before and returned to the store, to be sent to me under the pretence of being a new dress. I emailed Myer about this embarassing shopping experience and all they could say is oh we should have proceses in place to check quality, it must not have happened this time. That's not good enough. No customer should ever have to experience this! How can you even have such a faulty dress in stock, not to mention sell it for this price and send faulty without even checking it! I will not be doing any online shopping with Myer again."
Susan Phillips,3,Bought shoes this afternoon at Myer …,Excellent,Bought shoes this afternoon at Myer  Miranda  Fair. Staff were so polite  even though very very busy  with  sales on. Wished myself and others a Happy Mothers Day  for tomorrow.  Even  helped me  by using their phone to log on email address for competition at  the  moment. Also  the  $10 off for Myer One members. Praise deserved. 😊
Jansu Akgun,1,Misleading customers,Bad,Purchased a watch online last night which was confirmed. Then went back into site to view the watch which read out of stock. The next day I received a email claiming my order was cancelled. I called to be told I might of cancelled the order or the credit card didn’t pay them. Fun that I got the blame and that I should take it up with the bank and it’s not from there end. Oh by the way it my debit card with funds to buy Min 10 watches. I ask if the watch was available and was told it seems like there was one in stock but no guarantee. In other words they don’t have it but found a easy way out by faulting the bank. First and last time I will be buying from Myers online. Misleading customers in having the stock available.
Penny Watson,1,Failure of service.,Bad,"I order about $160 worth of stuff online cos I had been given a $50 giftcard for Christmas. Part of the order was 6 towels, 3 red and 3 black. About a week later my order arrives without the black.I call myer and they try to blame Australia post (I work there) and say they have to contact AusPost before they can do anything. I had called AusPost before calling myer and they said that while they got the shipping information about the towels, they never received the towels themselves. I end up having to call them back a couple of weeks later cos they never got back to me and they say they have to call AusPost to get them to report the towels as ""lost in transit"" which I thought was strange because if AusPost never received the towels, why would they admit a fault that wasn't there's?Anyway, I called myer again a few weeks later because again, they never got back to me. I finally just ask for a refund but when I hang up, I get these emails saying ""your return has been processed, send back the towels"" or something like that. I ignore it cos I figured it might be one of those auto emails that gets sent out because of the way they need to do this return. So I wait a little while, I get busy, them I realise I never got my money back. I call again (and by this time I really want to tell them to change their hold music) and Finally get a refund processed by a nice lady. After that phonecall I get an email saying my return egift card is available... the nice lady never mentioned a gift card? I don't want credit, I don't shop at myer! I had to call up the next day and they told me that because I partially paid with a $50 gift card, that they had to give me my $45 back as a giftcard! I ask if there's anything they can do because I don't want a gift card and they said no. Now I'm very upset and annoyed that this took 3 months to sort out! I just want my money back. This is a failure of service and I am very disappointed."
Alice Smith,1,Since when is so hard to ask what size?,Bad,"During my experience at Myers I had asked if they had any leotards or bodysuits suitable for an adult women, I was immediately take to the kids section even after specifying womens. Yes I don't exactly look 20 and that was amusing however what really got me in the mood was how I was addressed by your employee Sandra at Fountain Gate Myers, I was addressed as a bigger girl. I may not be on the very slim or slimmer side but I'd hardly say I classify as a bigger girl or just a big girl in general and the remark has truly put me off. Never before have I ever been addressed as a bigger girl no matter where I went, surly asking what size would have been a better choice then that"
Mischa,2,DO NOT BUY FROM MYER ONLINE,Bad,"DO NOT BUY FROM MYER ONLINE! Absolute WORST procedures in place for exchanges. Online phone service has no idea what is able to be exchanged in store PLUS when I ordered online it took 2 WEEKS TO GET FROM SYDNEY TO MELBOURNE!I can order things from America and the UK and get them delivered quicker! Their exchange policy is not doable under afterpay but apparently the lady on the phone says the store should do it but I just can't be bothered driving around for an hour paying for parking to try and go back and find out if this is true. NOT WORTH THE 2 WEEKS WAITING, 2 HOUR TRIP TO MYER AND $15 IN PARKING PLUS HAVING TO PAY POSTAGE FOR RETURN OF THE WRONG PRODUCTS SHIPPED! UNBELIEVABLE IN 15 YEARS BUYING ONLINE I HAVE NEVER ENCOUNTERED SUCH A DISORGANISED RIDICULOUS ONLINE STORE!STAY AWAY SAVE YOUR MONEY AND GO ELSEWHERE"
Cathy,1,Great service in lingerie at Myer…but not so at the Lancôme counter.,Bad,Great service in lingerie at Myer Pacific Fair.Wanting to buy a Lancôme mascara....two women totally ignored me. You lost a purchase and I felt invisible.
Val Duncan,1,Castle Towers Myer,Excellent,"Castle Towers Myer. Apr 2The young man John in the menswear  shirt department could not have been more helpful, giving me shirts to try on to determine the best size & recommending the brands which were most suitable.  Because of his assistance I purchased 3 shirts instead of walking out confused with the different choices."
Barbara,1,I recently visited Myer Rundle Mall to…,Excellent,I recently visited Myer Rundle Mall to purchase a mascara i was served by an exceptionaliy friendly and helpful lady by the name of Jenny at the Shisiedo counter. She not only sold me the mascara but reccomended many other products to suit my skin. What an assset to have MYER !!!!!!!Well done and keep up the good work Jenny .
